id,name,country,primary_subfield,total_publications,Artificial Intelligence,Computational Theory and Mathematics,Computer Graphics and Computer-Aided Design,Computer Networks and Communications,Computer Science Applications,Computer Vision and Pattern Recognition,Hardware and Architecture,Human-Computer Interaction,Information Systems,Signal Processing,Software
A5020299660,Rafael Lago Sari,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5038313415,Thompson Diórdinis Metzka Lanzanova,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5059999951,Mário Eduardo Santos Martins,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5042546100,Lauren Thévin,FR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5110154708,Catherine Garbay,FR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5100906545,Guilherme Cardoso,BR,Hardware and Architecture,2,0,0,0,0,0,0,2,0,0,0,0
A5024779822,Guilherme Martignago Zilli,BR,Signal Processing,1,0,0,0,0,0,0,0,0,0,1,0
A5111889248,Ana Esmeralda Carelli,BR,Information Systems,3,0,0,0,0,0,0,0,0,3,0,0
A5111885733,Claudio L.M. Martins,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5110696487,Aristoteles Peixoto,BR,Artificial Intelligence,1,1,0,0,0,0,0,0,0,0,0,0
A5084645382,Jaime W. Dias,BR,Information Systems,2,0,0,0,0,0,0,0,0,2,0,0
A5053669717,Paulo Verı́ssimo,LU,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5045317950,Wagner Saback Dantas,BR,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5006468144,Alexandre Fonseca,PT,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5108844731,Pedro Henrique de C. S. Luz,PT,Computer Networks and Communications,1,0,0,0,1,0,0,0,0,0,0,0
A5100536685,Bruno Fontenele Carvalho,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5024764220,Caio C. M. Silva,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5053092283,Alessandra M. Silva,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5039909003,Rafael Timóteo,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5013895769,Herbertt B. M. Diniz,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5001327877,Emanoel C. G. F. Silva,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5061669640,Thomas C. C. Nogueira,BR,Computer Science Applications,1,0,0,0,0,1,0,0,0,0,0,0
A5031781989,M. Schmidt,BR,Computer Graphics and Computer-Aided Design,1,0,0,1,0,0,0,0,0,0,0,0
A5111059048,C. V. Morais,BR,Computer Graphics and Computer-Aided Design,1,0,0,1,0,0,0,0,0,0,0,0
A5013627158,F.M. Zimmer,BR,Computer Graphics and Computer-Aided Design,1,0,0,1,0,0,0,0,0,0,0,0
A5081550853,Jaqueline A. J. P. Soares,BR,Computer Vision and Pattern Recognition,1,0,0,0,0,0,1,0,0,0,0,0
A5036529755,Tânia Arena Moreira Domingues,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5016385373,Alba Lúcia Bottura Leite de Barros,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5041516387,Gabriela Marsola Olivatto,BR,Information Systems,1,0,0,0,0,0,0,0,0,1,0,0
A5019716410,Rogério de Aguiar,BR,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5009128804,Blanca Climent-Ezquerra,ES,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
A5001422435,María Drina Rojas-Medar,CL,Computational Theory and Mathematics,1,0,1,0,0,0,0,0,0,0,0,0
