author_id,author_name,movement_type,prev_year,prev_countries,prev_publication_id,curr_year,curr_countries,curr_publication_id
A5062400717,Fernando Castor,Brazilian to Foreign,2021,BR,W3092281757,2022,NL,W4312302436
A5062400717,Fernando Castor,Foreign to Brazilian,2022,NL,W4312302436,2022,"BR, NL",W4297102158
A5062400717,Fernando Castor,Brazilian to Foreign,2023,"BR, NL",W4375947996,2023,NL,W4377028986
A5062400717,Fernando Castor,Foreign to Brazilian,2023,NL,W4377028986,2023,"BR, NL",W4367299501
A5062400717,Fernando Castor,Brazilian to Foreign,2023,"BR, NL",W4387007130,2024,NL,W4399631907
A5039357068,Fabrízzio Soares,Brazilian to Foreign,2020,"BR, US",W3086548859,2020,US,W3115369051
A5039357068,Fabrízzio Soares,Foreign to Brazilian,2020,US,W3115369051,2021,BR,W3208038293
A5014016869,Maria Ribeiro,Foreign to Brazilian,2023,PT,W4391622725,2024,"BR, PT",W4399626181
A5014016869,Maria Ribeiro,Brazilian to Foreign,2024,"BR, PT",W4399626181,2024,PT,W4399283455
A5079456114,Waldir Moreira,Brazilian to Foreign,2015,BR,W2294301761,2016,PT,W2480090588
A5079456114,Waldir Moreira,Foreign to Brazilian,2016,PT,W2480090588,2016,BR,W2406010710
A5079456114,Waldir Moreira,Brazilian to Foreign,2016,BR,W2406010710,2017,PT,W2767865048
A5079456114,Waldir Moreira,Foreign to Brazilian,2017,PT,W2767865048,2017,"BR, PT",W2751169498
A5079456114,Waldir Moreira,Brazilian to Foreign,2017,"BR, PT",W2751169498,2017,PT,W2773194082
A5002385197,Antônio Oliveira-Jr,Brazilian to Foreign,2020,"BR, PT",W3092588598,2021,PT,W4206349443
A5002385197,Antônio Oliveira-Jr,Foreign to Brazilian,2021,PT,W4206186288,2021,BR,W4200247285
A5002385197,Antônio Oliveira-Jr,Brazilian to Foreign,2021,BR,W4200247285,2021,PT,W3189543778
A5002385197,Antônio Oliveira-Jr,Foreign to Brazilian,2021,PT,W3189543778,2021,BR,W3147743676
A5002385197,Antônio Oliveira-Jr,Brazilian to Foreign,2021,BR,W3147743676,2022,PT,W4312854485
